onset	duration	trial_type
6.73	1	EXP_EXP
14.24	1	EXP_EXP
23.25	1	VP_VP
30.73	1	EXP_EXP
38.24	1	EXP_EXP
45.75	1	VP_VP
53.25	1	EXP_EXP
62.24	1	EXP_VP
69.75	1	EXP_EXP
77.25	1	EXP_VP
84.74	1	VP_EXP
92.24	1	EXP_EXP
99.75	1	VP_VP
107.24	1	EXP_EXP
116.24	1	VP_VP
123.75	1	EXP_EXP
131.24	1	EXP_VP
138.74	1	EXP_EXP
146.25	1	EXP_EXP
153.74	1	EXP_EXP
161.24	1	EXP_EXP
168.75	1	VP_EXP
176.24	1	EXP_EXP
183.74	1	EXP_EXP
191.25	1	EXP_EXP
198.74	1	EXP_EXP
206.24	1	EXP_EXP
215.25	1	VP_EXP
222.74	1	acatch
230.24	1	EXP_EXP
237.75	1	EXP_EXP
245.23	1	EXP_EXP
252.74	1	EXP_VP
260.25	1	EXP_EXP
273.74	1	EXP_VP
284.25	1	EXP_EXP
291.75	1	EXP_EXP
299.24	1	EXP_EXP
308.25	1	EXP_EXP
315.75	1	EXP_EXP
327.74	1	EXP_EXP
335.25	1	VP_VP
342.74	1	EXP_EXP
350.24	1	EXP_VP
357.75	1	VP_EXP
365.24	1	VP_VP
372.74	1	EXP_EXP
380.25	1	VP_VP
387.75	1	EXP_EXP
396.74	1	EXP_VP
405.75	1	EXP_EXP
413.24	1	EXP_EXP
420.74	1	VP_EXP
428.25	1	vcatch
435.73	1	EXP_EXP
443.24	1	EXP_EXP
453.75	1	VP_EXP
461.24	1	EXP_EXP
468.74	1	EXP_VP
477.75	1	EXP_EXP
485.24	1	vcatch
492.74	1	EXP_EXP
500.25	1	VP_VP
507.73	1	acatch
515.24	1	EXP_EXP
522.75	1	EXP_EXP
530.25	1	VP_EXP
539.24	1	VP_EXP
