onset	duration	trial_type
6.01	1	vcatch
15.0	1	CCW
22.51	1	CW
30.01	1	CW
37.5	1	CCW
45.01	1	CCW
52.51	1	CW
60.02	1	CCW
69.01	1	CW
76.51	1	CCW
87.0	1	CW
96.01	1	acatch
108.02	1	CCW
117.01	1	CW
127.51	1	CCW
136.5	1	CCW
144.01	1	CW
151.51	1	CW
159.0	1	CW
166.51	1	CW
174.01	1	CCW
181.5	1	CW
192.01	1	CCW
199.51	1	CCW
211.51	1	CCW
219.01	1	CW
226.52	1	CCW
235.51	1	CCW
243.01	1	CCW
253.5	1	CW
261.01	1	CCW
270.01	1	CW
277.5	1	CW
289.51	1	CW
297.02	1	CW
304.5	1	CCW
312.01	1	CCW
319.51	1	CW
331.51	1	CW
340.51	1	CCW
348.0	1	CCW
355.51	1	CW
